version = 6
CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 8 is empty
CPU 10 is empty
cpus=12
           zpool-5126  [007]   127.982291: funcgraph_entry:        0.415 us   |          zap_cursor_init();
           zpool-5126  [007]   127.982292: funcgraph_entry:                   |          zap_cursor_retrieve() {
           zpool-5126  [007]   127.982293: funcgraph_entry:                   |            zap_lockdir() {
           zpool-5126  [007]   127.982294: funcgraph_entry:                   |              dmu_buf_hold() {
           zpool-5126  [007]   127.982294: funcgraph_entry:                   |                dnode_hold() {
           zpool-5126  [007]   127.982295: funcgraph_entry:                   |                  dnode_hold_impl() {
           zpool-5126  [007]   127.982296: funcgraph_entry:        0.420 us   |                    dbuf_whichblock();
           zpool-5126  [007]   127.982297: funcgraph_entry:                   |                    dbuf_hold() {
           zpool-5126  [007]   127.982298: funcgraph_entry:                   |                      dbuf_hold_impl() {
           zpool-5126  [007]   127.982299: funcgraph_entry:                   |                        __dbuf_hold_impl() {
           zpool-5126  [007]   127.982299: funcgraph_entry:                   |                          dbuf_find() {
           zpool-5126  [007]   127.982300: funcgraph_entry:        1.020 us   |                            dbuf_hash();
           zpool-5126  [007]   127.982302: funcgraph_exit:         2.838 us   |                          }
           zpool-5126  [007]   127.982303: funcgraph_exit:         4.031 us   |                        }
           zpool-5126  [007]   127.982304: funcgraph_exit:         6.007 us   |                      }
           zpool-5126  [007]   127.982304: funcgraph_exit:         7.006 us   |                    }
           zpool-5126  [007]   127.982305: funcgraph_entry:        0.543 us   |                    RW_WRITE_HELD();
           zpool-5126  [007]   127.982306: funcgraph_entry:                   |                    dbuf_read() {
           zpool-5126  [007]   127.982307: funcgraph_entry:        0.606 us   |                      zrl_add();
           zpool-5126  [007]   127.982309: funcgraph_entry:        1.939 us   |                      dmu_zfetch();
           zpool-5126  [007]   127.982311: funcgraph_entry:        0.577 us   |                      RW_WRITE_HELD();
           zpool-5126  [007]   127.982312: funcgraph_entry:        0.407 us   |                      zrl_remove();
           zpool-5126  [007]   127.982313: funcgraph_exit:         6.787 us   |                    }
           zpool-5126  [007]   127.982313: funcgraph_entry:        0.416 us   |                    dmu_buf_get_user();
           zpool-5126  [007]   127.982314: funcgraph_entry:        0.550 us   |                    zrl_add();
           zpool-5126  [007]   127.982316: funcgraph_entry:        0.409 us   |                    zrl_remove();
           zpool-5126  [007]   127.982317: funcgraph_entry:                   |                    dmu_buf_rele() {
           zpool-5126  [007]   127.982317: funcgraph_entry:        0.660 us   |                      dbuf_rele_and_unlock();
           zpool-5126  [007]   127.982318: funcgraph_exit:         1.652 us   |                    }
           zpool-5126  [007]   127.982319: funcgraph_exit:       + 24.075 us  |                  }
           zpool-5126  [007]   127.982319: funcgraph_exit:       + 25.098 us  |                }
           zpool-5126  [007]   127.982320: funcgraph_entry:        0.422 us   |                dbuf_whichblock();
           zpool-5126  [007]   127.982321: funcgraph_entry:                   |                dbuf_hold() {
           zpool-5126  [007]   127.982321: funcgraph_entry:                   |                  dbuf_hold_impl() {
           zpool-5126  [007]   127.982322: funcgraph_entry:                   |                    __dbuf_hold_impl() {
           zpool-5126  [007]   127.982322: funcgraph_entry:                   |                      dbuf_find() {
           zpool-5126  [007]   127.982323: funcgraph_entry:        0.557 us   |                        dbuf_hash();
           zpool-5126  [007]   127.982324: funcgraph_exit:         1.973 us   |                      }
           zpool-5126  [007]   127.982325: funcgraph_entry:                   |                      arc_buf_add_ref() {
           zpool-5126  [007]   127.982326: funcgraph_entry:        1.030 us   |                        add_reference();
           zpool-5126  [007]   127.982328: funcgraph_entry:        0.745 us   |                        arc_access();
           zpool-5126  [007]   127.982329: funcgraph_exit:         4.078 us   |                      }
           zpool-5126  [007]   127.982330: funcgraph_exit:         7.672 us   |                    }
           zpool-5126  [007]   127.982330: funcgraph_exit:         8.886 us   |                  }
           zpool-5126  [007]   127.982330: funcgraph_exit:         9.768 us   |                }
           zpool-5126  [007]   127.982331: funcgraph_entry:                   |                dbuf_read() {
           zpool-5126  [007]   127.982332: funcgraph_entry:        0.430 us   |                  zrl_add();
           zpool-5126  [007]   127.982332: funcgraph_entry:        0.534 us   |                  RW_WRITE_HELD();
           zpool-5126  [007]   127.982333: funcgraph_entry:        0.407 us   |                  zrl_remove();
           zpool-5126  [007]   127.982334: funcgraph_exit:         3.252 us   |                }
           zpool-5126  [007]   127.982335: funcgraph_entry:        0.480 us   |                dnode_rele();
           zpool-5126  [007]   127.982336: funcgraph_exit:       + 42.346 us  |              }
           zpool-5126  [007]   127.982336: funcgraph_entry:        0.406 us   |              dmu_buf_get_user();
           zpool-5126  [007]   127.982337: funcgraph_exit:       + 44.301 us  |            }
           zpool-5126  [007]   127.982338: funcgraph_entry:        0.499 us   |            mze_compare();
           zpool-5126  [007]   127.982339: funcgraph_entry:        0.417 us   |            mzap_normalization_conflict();
           zpool-5126  [007]   127.982341: funcgraph_exit:       + 48.380 us  |          }
           zpool-5126  [007]   127.982342: funcgraph_entry:        0.416 us   |          zap_cursor_advance();
           zpool-5126  [007]   127.982343: funcgraph_entry:                   |          zap_cursor_retrieve() {
           zpool-5126  [007]   127.982344: funcgraph_entry:        0.474 us   |            mze_compare();
           zpool-5126  [007]   127.982345: funcgraph_exit:         1.839 us   |          }
           zpool-5126  [007]   127.982346: funcgraph_entry:                   |          zap_cursor_fini() {
           zpool-5126  [007]   127.982346: funcgraph_entry:                   |            zap_unlockdir() {
           zpool-5126  [007]   127.982347: funcgraph_entry:                   |              dmu_buf_rele() {
           zpool-5126  [007]   127.982347: funcgraph_entry:                   |                dbuf_rele_and_unlock() {
           zpool-5126  [007]   127.982348: funcgraph_entry:        0.497 us   |                  arc_buf_freeze();
           zpool-5126  [007]   127.982349: funcgraph_entry:        0.490 us   |                  arc_released();
           zpool-5126  [007]   127.982350: funcgraph_entry:                   |                  arc_buf_remove_ref() {
           zpool-5126  [007]   127.982351: funcgraph_entry:        0.689 us   |                    remove_reference();
           zpool-5126  [007]   127.982352: funcgraph_exit:         1.839 us   |                  }
           zpool-5126  [007]   127.982352: funcgraph_entry:        0.529 us   |                  arc_buf_eviction_needed();
           zpool-5126  [007]   127.982353: funcgraph_exit:         6.211 us   |                }
           zpool-5126  [007]   127.982354: funcgraph_exit:         7.053 us   |              }
           zpool-5126  [007]   127.982354: funcgraph_exit:         8.120 us   |            }
           zpool-5126  [007]   127.982355: funcgraph_exit:         9.036 us   |          }
           zpool-5126  [007]   127.982355: funcgraph_entry:        0.414 us   |          zap_cursor_init();
           zpool-5126  [007]   127.982356: funcgraph_entry:                   |          zap_cursor_retrieve() {
           zpool-5126  [007]   127.982356: funcgraph_entry:                   |            zap_lockdir() {
           zpool-5126  [007]   127.982357: funcgraph_entry:                   |              dmu_buf_hold() {
           zpool-5126  [007]   127.982357: funcgraph_entry:                   |                dnode_hold() {
           zpool-5126  [007]   127.982358: funcgraph_entry:                   |                  dnode_hold_impl() {
           zpool-5126  [007]   127.982358: funcgraph_entry:        0.413 us   |                    dbuf_whichblock();
           zpool-5126  [007]   127.982359: funcgraph_entry:                   |                    dbuf_hold() {
           zpool-5126  [007]   127.982359: funcgraph_entry:                   |                      dbuf_hold_impl() {
           zpool-5126  [007]   127.982360: funcgraph_entry:                   |                        __dbuf_hold_impl() {
           zpool-5126  [007]   127.982360: funcgraph_entry:                   |                          dbuf_find() {
           zpool-5126  [007]   127.982361: funcgraph_entry:        0.486 us   |                            dbuf_hash();
           zpool-5126  [007]   127.982362: funcgraph_exit:         1.389 us   |                          }
           zpool-5126  [007]   127.982362: funcgraph_exit:         2.323 us   |                        }
           zpool-5126  [007]   127.982363: funcgraph_exit:         3.576 us   |                      }
           zpool-5126  [007]   127.982363: funcgraph_exit:         4.450 us   |                    }
           zpool-5126  [007]   127.982364: funcgraph_entry:        0.527 us   |                    RW_WRITE_HELD();
           zpool-5126  [007]   127.982365: funcgraph_entry:                   |                    dbuf_read() {
           zpool-5126  [007]   127.982365: funcgraph_entry:        0.427 us   |                      zrl_add();
           zpool-5126  [007]   127.982366: funcgraph_entry:        0.660 us   |                      dmu_zfetch();
           zpool-5126  [007]   127.982368: funcgraph_entry:        0.530 us   |                      RW_WRITE_HELD();
           zpool-5126  [007]   127.982368: funcgraph_entry:        0.410 us   |                      zrl_remove();
           zpool-5126  [007]   127.982369: funcgraph_exit:         4.444 us   |                    }
           zpool-5126  [007]   127.982370: funcgraph_entry:        0.420 us   |                    dmu_buf_get_user();
           zpool-5126  [007]   127.982371: funcgraph_entry:        0.416 us   |                    zrl_add();
           zpool-5126  [007]   127.982372: funcgraph_entry:        0.417 us   |                    zrl_remove();
           zpool-5126  [007]   127.982373: funcgraph_entry:                   |                    dmu_buf_rele() {
           zpool-5126  [007]   127.982373: funcgraph_entry:        0.489 us   |                      dbuf_rele_and_unlock();
           zpool-5126  [007]   127.982374: funcgraph_exit:         1.336 us   |                    }
           zpool-5126  [007]   127.982374: funcgraph_exit:       + 16.892 us  |                  }
           zpool-5126  [007]   127.982375: funcgraph_exit:       + 17.695 us  |                }
           zpool-5126  [007]   127.982375: funcgraph_entry:        0.420 us   |                dbuf_whichblock();
           zpool-5126  [007]   127.982376: funcgraph_entry:                   |                dbuf_hold() {
           zpool-5126  [007]   127.982377: funcgraph_entry:                   |                  dbuf_hold_impl() {
           zpool-5126  [007]   127.982377: funcgraph_entry:                   |                    __dbuf_hold_impl() {
           zpool-5126  [007]   127.982378: funcgraph_entry:                   |                      dbuf_find() {
           zpool-5126  [007]   127.982378: funcgraph_entry:        0.570 us   |                        dbuf_hash();
           zpool-5126  [007]   127.982380: funcgraph_exit:         2.096 us   |                      }
           zpool-5126  [007]   127.982380: funcgraph_entry:                   |                      arc_buf_add_ref() {
           zpool-5126  [007]   127.982382: funcgraph_entry:        0.610 us   |                        add_reference();
           zpool-5126  [007]   127.982383: funcgraph_entry:        0.460 us   |                        arc_access();
           zpool-5126  [007]   127.982384: funcgraph_exit:         3.358 us   |                      }
           zpool-5126  [007]   127.982384: funcgraph_exit:         6.960 us   |                    }
           zpool-5126  [007]   127.982385: funcgraph_exit:         8.156 us   |                  }
           zpool-5126  [007]   127.982385: funcgraph_exit:         9.029 us   |                }
           zpool-5126  [007]   127.982386: funcgraph_entry:                   |                dbuf_read() {
           zpool-5126  [007]   127.982386: funcgraph_entry:        0.430 us   |                  zrl_add();
           zpool-5126  [007]   127.982388: funcgraph_entry:        0.536 us   |                  RW_WRITE_HELD();
           zpool-5126  [007]   127.982389: funcgraph_entry:        0.427 us   |                  zrl_remove();
           zpool-5126  [007]   127.982390: funcgraph_exit:         3.706 us   |                }
           zpool-5126  [007]   127.982390: funcgraph_entry:        0.466 us   |                dnode_rele();
           zpool-5126  [007]   127.982391: funcgraph_exit:       + 34.226 us  |              }
           zpool-5126  [007]   127.982391: funcgraph_entry:        0.429 us   |              dmu_buf_get_user();
           zpool-5126  [007]   127.982392: funcgraph_exit:       + 36.072 us  |            }
           zpool-5126  [007]   127.982393: funcgraph_entry:        0.570 us   |            mze_compare();
           zpool-5126  [007]   127.982394: funcgraph_entry:        0.420 us   |            mzap_normalization_conflict();
           zpool-5126  [007]   127.982395: funcgraph_exit:       + 39.251 us  |          }
           zpool-5126  [007]   127.982396: funcgraph_entry:        0.406 us   |          zap_cursor_advance();
           zpool-5126  [007]   127.982397: funcgraph_entry:                   |          zap_cursor_retrieve() {
           zpool-5126  [007]   127.982397: funcgraph_entry:        0.439 us   |            mze_compare();
           zpool-5126  [007]   127.982398: funcgraph_entry:        0.563 us   |            mze_compare();
           zpool-5126  [007]   127.982399: funcgraph_entry:        0.410 us   |            mzap_normalization_conflict();
           zpool-5126  [007]   127.982400: funcgraph_exit:         3.475 us   |          }
           zpool-5126  [007]   127.982401: funcgraph_entry:        0.410 us   |          zap_cursor_advance();
           zpool-5126  [007]   127.982402: funcgraph_entry:                   |          zap_cursor_retrieve() {
           zpool-5126  [007]   127.982403: funcgraph_entry:        0.476 us   |            mze_compare();
           zpool-5126  [007]   127.982403: funcgraph_entry:        0.436 us   |            mze_compare();
           zpool-5126  [007]   127.982405: funcgraph_exit:         2.482 us   |          }
           zpool-5126  [007]   127.982405: funcgraph_entry:                   |          zap_cursor_fini() {
           zpool-5126  [007]   127.982405: funcgraph_entry:                   |            zap_unlockdir() {
           zpool-5126  [007]   127.982406: funcgraph_entry:                   |              dmu_buf_rele() {
           zpool-5126  [007]   127.982406: funcgraph_entry:                   |                dbuf_rele_and_unlock() {
           zpool-5126  [007]   127.982407: funcgraph_entry:        0.410 us   |                  arc_buf_freeze();
           zpool-5126  [007]   127.982408: funcgraph_entry:        0.452 us   |                  arc_released();
           zpool-5126  [007]   127.982409: funcgraph_entry:                   |                  arc_buf_remove_ref() {
           zpool-5126  [007]   127.982409: funcgraph_entry:        0.490 us   |                    remove_reference();
           zpool-5126  [007]   127.982410: funcgraph_exit:         1.486 us   |                  }
           zpool-5126  [007]   127.982411: funcgraph_entry:        0.480 us   |                  arc_buf_eviction_needed();
           zpool-5126  [007]   127.982411: funcgraph_exit:         5.044 us   |                }
           zpool-5126  [007]   127.982412: funcgraph_exit:         5.944 us   |              }
           zpool-5126  [007]   127.982412: funcgraph_exit:         6.949 us   |            }
           zpool-5126  [007]   127.982413: funcgraph_exit:         7.796 us   |          }
           zpool-5126  [007]   127.982416: funcgraph_exit:       ! 126.548 us |        }
           zpool-5126  [007]   127.982417: funcgraph_entry:        0.520 us   |        spa_altroot();
           zpool-5126  [007]   127.982418: funcgraph_entry:        0.612 us   |        spa_config_exit();
           zpool-5126  [007]   127.982419: funcgraph_entry:        0.447 us   |        spa_close();
           zpool-5126  [007]   127.982420: funcgraph_exit:       ! 333.400 us |      }
