version = 6
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 8 is empty
CPU 9 is empty
cpus=12
       trace-cmd-18047 [011] 41527.297633: funcgraph_entry:        3.795 us   |  zpl_show_options();
              dd-18048 [010] 41527.298684: funcgraph_entry:        0.433 us   |                  dbuf_whichblock();
              dd-18048 [010] 41527.298685: funcgraph_entry:                   |                  dbuf_hold() {
              dd-18048 [010] 41527.298685: funcgraph_entry:                   |                    dbuf_hold_impl() {
              dd-18048 [010] 41527.298686: funcgraph_entry:                   |                      __dbuf_hold_impl() {
              dd-18048 [010] 41527.298686: funcgraph_entry:                   |                        dbuf_find() {
              dd-18048 [010] 41527.298687: funcgraph_entry:        0.590 us   |                          dbuf_hash();
              dd-18048 [010] 41527.298688: funcgraph_exit:         1.816 us   |                        }
              dd-18048 [010] 41527.298689: funcgraph_entry:        0.466 us   |                        dmu_buf_add_ref();
              dd-18048 [010] 41527.298690: funcgraph_entry:                   |                        dbuf_create() {
              dd-18048 [010] 41527.298692: funcgraph_entry:        0.420 us   |                          dbuf_hash();
              dd-18048 [010] 41527.298693: funcgraph_entry:        0.712 us   |                          arc_space_consume();
              dd-18048 [010] 41527.298694: funcgraph_exit:         4.128 us   |                        }
              dd-18048 [010] 41527.298695: funcgraph_entry:                   |                        dmu_buf_rele() {
              dd-18048 [010] 41527.298695: funcgraph_entry:        0.472 us   |                          dbuf_rele_and_unlock();
              dd-18048 [010] 41527.298696: funcgraph_exit:         1.312 us   |                        }
              dd-18048 [010] 41527.298696: funcgraph_exit:       + 10.728 us  |                      }
              dd-18048 [010] 41527.298697: funcgraph_exit:       + 11.930 us  |                    }
              dd-18048 [010] 41527.298697: funcgraph_exit:       + 12.817 us  |                  }
              dd-18048 [010] 41527.298698: funcgraph_entry:                   |                  dbuf_read() {
              dd-18048 [010] 41527.298699: funcgraph_entry:        0.423 us   |                    zrl_add();
              dd-18048 [010] 41527.298700: funcgraph_entry:                   |                    zio_root() {
              dd-18048 [010] 41527.298700: funcgraph_entry:                   |                      zio_null() {
              dd-18048 [010] 41527.298701: funcgraph_entry:        2.376 us   |                        zio_create();
              dd-18048 [010] 41527.298703: funcgraph_exit:         3.409 us   |                      }
              dd-18048 [010] 41527.298704: funcgraph_exit:         4.280 us   |                    }
              dd-18048 [010] 41527.298704: funcgraph_entry:        0.423 us   |                    zrl_add();
              dd-18048 [010] 41527.298705: funcgraph_entry:                   |                    dnode_block_freed() {
              dd-18048 [010] 41527.298706: funcgraph_entry:        0.516 us   |                      spa_get_dsl();
              dd-18048 [010] 41527.298708: funcgraph_exit:         2.319 us   |                    }
              dd-18048 [010] 41527.298708: funcgraph_entry:        0.420 us   |                    zrl_remove();
              dd-18048 [010] 41527.298709: funcgraph_entry:                   |                    dbuf_is_metadata() {
              dd-18048 [010] 41527.298710: funcgraph_entry:        0.419 us   |                      zrl_add();
              dd-18048 [010] 41527.298711: funcgraph_entry:        0.417 us   |                      zrl_remove();
              dd-18048 [010] 41527.298711: funcgraph_exit:         2.289 us   |                    }
              dd-18048 [010] 41527.298712: funcgraph_entry:        0.450 us   |                    dmu_buf_add_ref();
              dd-18048 [010] 41527.298713: funcgraph_entry:                   |                    arc_read() {
              dd-18048 [010] 41527.298713: funcgraph_entry:        0.543 us   |                      spa_load_guid();
              dd-18048 [010] 41527.298714: funcgraph_entry:        2.199 us   |                      buf_hash_find();
              dd-18048 [010] 41527.298717: funcgraph_entry:        1.029 us   |                      add_reference();
              dd-18048 [010] 41527.298720: funcgraph_entry:                   |                      arc_get_data_buf() {
              dd-18048 [010] 41527.298721: funcgraph_entry:        0.797 us   |                        zio_buf_alloc();
              dd-18048 [010] 41527.298722: funcgraph_entry:        0.705 us   |                        arc_space_consume();
              dd-18048 [010] 41527.298723: funcgraph_exit:         3.531 us   |                      }
              dd-18048 [010] 41527.298724: funcgraph_entry:                   |                      arc_access() {
              dd-18048 [010] 41527.298724: funcgraph_entry:        0.586 us   |                        arc_change_state();
              dd-18048 [010] 41527.298725: funcgraph_exit:         1.782 us   |                      }
              dd-18048 [010] 41527.298726: funcgraph_entry:                   |                      zio_read() {
