version = 6
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 8 is empty
CPU 10 is empty
cpus=12
       trace-cmd-7239  [009]  1273.350549: funcgraph_entry:        4.058 us   |  zpl_show_options();
              dd-7240  [011]  1273.351680: funcgraph_entry:                   |                  dbuf_hold() {
              dd-7240  [011]  1273.351680: funcgraph_entry:                   |                    dbuf_hold_impl() {
              dd-7240  [011]  1273.351681: funcgraph_entry:                   |                      __dbuf_hold_impl() {
              dd-7240  [011]  1273.351682: funcgraph_entry:                   |                        dbuf_find() {
              dd-7240  [011]  1273.351682: funcgraph_entry:        0.676 us   |                          dbuf_hash();
              dd-7240  [011]  1273.351684: funcgraph_exit:         2.066 us   |                        }
              dd-7240  [011]  1273.351684: funcgraph_entry:        0.447 us   |                        dmu_buf_add_ref();
              dd-7240  [011]  1273.351685: funcgraph_entry:                   |                        dbuf_create() {
 spl_kmem_cache/-1736  [004]  1273.351749: funcgraph_entry:        3.126 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351752: funcgraph_entry:        0.557 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351753: funcgraph_entry:        0.546 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351754: funcgraph_entry:        0.550 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351755: funcgraph_entry:        0.547 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351756: funcgraph_entry:        0.550 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351757: funcgraph_entry:        0.546 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351758: funcgraph_entry:        0.537 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351759: funcgraph_entry:        0.534 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351760: funcgraph_entry:        0.533 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351761: funcgraph_entry:        0.536 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351762: funcgraph_entry:        0.530 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351763: funcgraph_entry:        0.534 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351764: funcgraph_entry:        0.530 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351765: funcgraph_entry:        0.517 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351765: funcgraph_entry:        0.496 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351766: funcgraph_entry:        0.507 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351767: funcgraph_entry:        0.499 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351768: funcgraph_entry:        0.503 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351769: funcgraph_entry:        0.506 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351770: funcgraph_entry:        0.497 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351771: funcgraph_entry:        0.507 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351772: funcgraph_entry:        0.500 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351773: funcgraph_entry:        0.497 us   |  dbuf_cons();
 spl_kmem_cache/-1736  [004]  1273.351774: funcgraph_entry:        0.500 us   |  dbuf_cons();
              dd-7240  [011]  1273.351785: funcgraph_entry:        0.774 us   |                          dbuf_hash();
              dd-7240  [011]  1273.351787: funcgraph_entry:        0.753 us   |                          arc_space_consume();
              dd-7240  [011]  1273.351788: funcgraph_exit:       + 21.480 us  |                        }
              dd-7240  [011]  1273.351788: funcgraph_entry:                   |                        dmu_buf_rele() {
              dd-7240  [011]  1273.351789: funcgraph_entry:        0.473 us   |                          dbuf_rele_and_unlock();
              dd-7240  [011]  1273.351790: funcgraph_exit:         1.340 us   |                        }
              dd-7240  [011]  1273.351790: funcgraph_exit:       + 28.270 us  |                      }
              dd-7240  [011]  1273.351791: funcgraph_exit:       + 29.536 us  |                    }
              dd-7240  [011]  1273.351791: funcgraph_exit:       + 30.439 us  |                  }
              dd-7240  [011]  1273.351792: funcgraph_entry:                   |                  dbuf_read() {
              dd-7240  [011]  1273.351792: funcgraph_entry:        0.423 us   |                    zrl_add();
              dd-7240  [011]  1273.351794: funcgraph_entry:                   |                    zio_root() {
              dd-7240  [011]  1273.351794: funcgraph_entry:                   |                      zio_null() {
              dd-7240  [011]  1273.351795: funcgraph_entry:      + 13.858 us  |                        zio_create();
              dd-7240  [011]  1273.351809: funcgraph_exit:       + 14.862 us  |                      }
              dd-7240  [011]  1273.351809: funcgraph_exit:       + 15.768 us  |                    }
              dd-7240  [011]  1273.351810: funcgraph_entry:        0.433 us   |                    zrl_add();
              dd-7240  [011]  1273.351811: funcgraph_entry:                   |                    dnode_block_freed() {
              dd-7240  [011]  1273.351812: funcgraph_entry:        0.520 us   |                      spa_get_dsl();
              dd-7240  [011]  1273.351813: funcgraph_exit:         2.382 us   |                    }
              dd-7240  [011]  1273.351814: funcgraph_entry:        0.437 us   |                    zrl_remove();
              dd-7240  [011]  1273.351815: funcgraph_entry:                   |                    dbuf_is_metadata() {
              dd-7240  [011]  1273.351815: funcgraph_entry:        0.434 us   |                      zrl_add();
              dd-7240  [011]  1273.351816: funcgraph_entry:        0.410 us   |                      zrl_remove();
              dd-7240  [011]  1273.351817: funcgraph_exit:         2.255 us   |                    }
              dd-7240  [011]  1273.351818: funcgraph_entry:        0.446 us   |                    dmu_buf_add_ref();
              dd-7240  [011]  1273.351819: funcgraph_entry:                   |                    arc_read() {
              dd-7240  [011]  1273.351819: funcgraph_entry:        0.513 us   |                      spa_load_guid();
              dd-7240  [011]  1273.351820: funcgraph_entry:        1.436 us   |                      buf_hash_find();
              dd-7240  [011]  1273.351822: funcgraph_entry:                   |                      arc_buf_alloc() {
 spl_kmem_cache/-1736  [004]  1273.351878: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351880: funcgraph_entry:        0.779 us   |    arc_space_consume();
 spl_kmem_cache/-1736  [004]  1273.351882: funcgraph_exit:         4.434 us   |  }
 spl_kmem_cache/-1736  [004]  1273.351882: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351883: funcgraph_entry:        0.623 us   |    arc_space_consume();
 spl_kmem_cache/-1736  [004]  1273.351884: funcgraph_exit:         1.992 us   |  }
 spl_kmem_cache/-1736  [004]  1273.351885: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351886: funcgraph_entry:        0.607 us   |    arc_space_consume();
 spl_kmem_cache/-1736  [004]  1273.351887: funcgraph_exit:         1.949 us   |  }
 spl_kmem_cache/-1736  [004]  1273.351888: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351888: funcgraph_entry:        0.632 us   |    arc_space_consume();
 spl_kmem_cache/-1736  [004]  1273.351890: funcgraph_exit:         1.973 us   |  }
 spl_kmem_cache/-1736  [004]  1273.351890: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351891: funcgraph_entry:        0.596 us   |    arc_space_consume();
 spl_kmem_cache/-1736  [004]  1273.351892: funcgraph_exit:         1.885 us   |  }
 spl_kmem_cache/-1736  [004]  1273.351893: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351894: funcgraph_entry:        0.590 us   |    arc_space_consume();
 spl_kmem_cache/-1736  [004]  1273.351895: funcgraph_exit:         2.092 us   |  }
 spl_kmem_cache/-1736  [004]  1273.351895: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351896: funcgraph_entry:        0.610 us   |    arc_space_consume();
 spl_kmem_cache/-1736  [004]  1273.351897: funcgraph_exit:         1.956 us   |  }
 spl_kmem_cache/-1736  [004]  1273.351898: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351899: funcgraph_entry:        0.576 us   |    arc_space_consume();
 spl_kmem_cache/-1736  [004]  1273.351900: funcgraph_exit:         1.913 us   |  }
 spl_kmem_cache/-1736  [004]  1273.351901: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351901: funcgraph_entry:        0.453 us   |    arc_space_consume();
 spl_kmem_cache/-1736  [004]  1273.351903: funcgraph_exit:         1.476 us   |  }
 spl_kmem_cache/-1736  [004]  1273.351903: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351904: funcgraph_entry:        0.474 us   |    arc_space_consume();
 spl_kmem_cache/-1736  [004]  1273.351905: funcgraph_exit:         1.500 us   |  }
 spl_kmem_cache/-1736  [004]  1273.351905: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351906: funcgraph_entry:        0.457 us   |    arc_space_consume();
 spl_kmem_cache/-1736  [004]  1273.351907: funcgraph_exit:         1.407 us   |  }
 spl_kmem_cache/-1736  [004]  1273.351907: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351908: funcgraph_entry:        0.457 us   |    arc_space_consume();
 spl_kmem_cache/-1736  [004]  1273.351909: funcgraph_exit:         1.407 us   |  }
 spl_kmem_cache/-1736  [004]  1273.351909: funcgraph_entry:                   |  hdr_cons() {
 spl_kmem_cache/-1736  [004]  1273.351910: funcgraph_entry:        0.453 us   |    arc_space_consume();
