version = 6
CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 7 is empty
CPU 9 is empty
CPU 11 is empty
cpus=12
       trace-cmd-5246  [006]   171.790747: funcgraph_entry:        4.218 us   |  zpl_show_options();
              dd-5247  [010]   171.791935: funcgraph_entry:                   |                    dbuf_hold_impl() {
              dd-5247  [010]   171.791936: funcgraph_entry:                   |                      __dbuf_hold_impl() {
              dd-5247  [010]   171.791936: funcgraph_entry:                   |                        dbuf_find() {
              dd-5247  [010]   171.791937: funcgraph_entry:        0.613 us   |                          dbuf_hash();
              dd-5247  [010]   171.791938: funcgraph_exit:         2.026 us   |                        }
              dd-5247  [010]   171.791939: funcgraph_entry:        0.437 us   |                        dmu_buf_add_ref();
              dd-5247  [010]   171.791940: funcgraph_entry:                   |                        dbuf_create() {
              dd-5247  [010]   171.791941: funcgraph_entry:        0.417 us   |                          dbuf_hash();
              dd-5247  [010]   171.791943: funcgraph_entry:        0.770 us   |                          arc_space_consume();
              dd-5247  [010]   171.791944: funcgraph_exit:         4.102 us   |                        }
              dd-5247  [010]   171.791944: funcgraph_entry:                   |                        dmu_buf_rele() {
              dd-5247  [010]   171.791945: funcgraph_entry:        0.427 us   |                          dbuf_rele_and_unlock();
              dd-5247  [010]   171.791946: funcgraph_exit:         1.257 us   |                        }
              dd-5247  [010]   171.791946: funcgraph_exit:       + 10.565 us  |                      }
              dd-5247  [010]   171.791947: funcgraph_exit:       + 11.804 us  |                    }
              dd-5247  [010]   171.791947: funcgraph_exit:       + 12.631 us  |                  }
              dd-5247  [010]   171.791948: funcgraph_entry:                   |                  dbuf_read() {
              dd-5247  [010]   171.791948: funcgraph_entry:        0.482 us   |                    zrl_add();
              dd-5247  [010]   171.791949: funcgraph_entry:                   |                    zio_root() {
              dd-5247  [010]   171.791950: funcgraph_entry:                   |                      zio_null() {
              dd-5247  [010]   171.791950: funcgraph_entry:        2.318 us   |                        zio_create();
              dd-5247  [010]   171.791953: funcgraph_exit:         3.264 us   |                      }
              dd-5247  [010]   171.791954: funcgraph_exit:         4.145 us   |                    }
              dd-5247  [010]   171.791954: funcgraph_entry:        0.417 us   |                    zrl_add();
              dd-5247  [010]   171.791955: funcgraph_entry:                   |                    dnode_block_freed() {
              dd-5247  [010]   171.791956: funcgraph_entry:        0.516 us   |                      spa_get_dsl();
              dd-5247  [010]   171.791958: funcgraph_exit:         2.419 us   |                    }
              dd-5247  [010]   171.791958: funcgraph_entry:        0.416 us   |                    zrl_remove();
              dd-5247  [010]   171.791959: funcgraph_entry:                   |                    dbuf_is_metadata() {
              dd-5247  [010]   171.791959: funcgraph_entry:        0.417 us   |                      zrl_add();
              dd-5247  [010]   171.791960: funcgraph_entry:        0.406 us   |                      zrl_remove();
              dd-5247  [010]   171.791961: funcgraph_exit:         2.262 us   |                    }
              dd-5247  [010]   171.791962: funcgraph_entry:        0.443 us   |                    dmu_buf_add_ref();
              dd-5247  [010]   171.791963: funcgraph_entry:                   |                    arc_read() {
              dd-5247  [010]   171.791963: funcgraph_entry:        0.517 us   |                      spa_load_guid();
              dd-5247  [010]   171.791964: funcgraph_entry:        2.092 us   |                      buf_hash_find();
              dd-5247  [010]   171.791967: funcgraph_entry:        0.870 us   |                      add_reference();
              dd-5247  [010]   171.791969: funcgraph_entry:                   |                      arc_access() {
              dd-5247  [010]   171.791969: funcgraph_entry:        0.604 us   |                        arc_change_state();
              dd-5247  [010]   171.791970: funcgraph_exit:         1.855 us   |                      }
              dd-5247  [010]   171.791971: funcgraph_entry:                   |                      dbuf_read_done() {
              dd-5247  [010]   171.791972: funcgraph_entry:                   |                        dbuf_set_data() {
              dd-5247  [010]   171.791972: funcgraph_entry:        0.597 us   |                          arc_released();
              dd-5247  [010]   171.791973: funcgraph_entry:        0.410 us   |                          arc_set_callback();
              dd-5247  [010]   171.791974: funcgraph_exit:         2.582 us   |                        }
              dd-5247  [010]   171.791975: funcgraph_entry:        0.432 us   |                        dbuf_rele_and_unlock();
              dd-5247  [010]   171.791976: funcgraph_exit:         4.618 us   |                      }
              dd-5247  [010]   171.791976: funcgraph_entry:        0.584 us   |                      spa_read_history_add();
              dd-5247  [010]   171.791977: funcgraph_exit:       + 14.393 us  |                    }
              dd-5247  [010]   171.791978: funcgraph_entry:        0.413 us   |                    zrl_remove();
              dd-5247  [010]   171.791979: funcgraph_entry:                   |                    zio_wait() {
              dd-5247  [010]   171.791980: funcgraph_entry:        0.454 us   |                      spa_get_dsl();
              dd-5247  [010]   171.791981: funcgraph_entry:        0.412 us   |                      spa_is_initializing();
              dd-5247  [010]   171.791982: funcgraph_entry:                   |                      zio_ready() {
              dd-5247  [010]   171.791983: funcgraph_entry:        0.476 us   |                        zio_wait_for_children();
              dd-5247  [010]   171.791984: funcgraph_entry:        0.440 us   |                        zio_wait_for_children();
              dd-5247  [010]   171.791985: funcgraph_entry:        0.449 us   |                        zio_walk_parents();
