version = 6
CPU 0 is empty
CPU 1 is empty
CPU 2 is empty
CPU 3 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 9 is empty
CPU 11 is empty
cpus=12
           zpool-23936 [010] 63346.347282: funcgraph_entry:        0.580 us   |        spa_add_spares();
           zpool-23936 [010] 63346.347283: funcgraph_entry:        0.446 us   |        spa_add_l2cache();
           zpool-23936 [010] 63346.347284: funcgraph_entry:                   |        spa_add_feature_stats() {
           zpool-23936 [010] 63346.347285: funcgraph_entry:        0.423 us   |          zap_cursor_init();
           zpool-23936 [010] 63346.347286: funcgraph_entry:                   |          zap_cursor_retrieve() {
           zpool-23936 [010] 63346.347286: funcgraph_entry:                   |            zap_lockdir() {
           zpool-23936 [010] 63346.347287: funcgraph_entry:                   |              dmu_buf_hold() {
           zpool-23936 [010] 63346.347288: funcgraph_entry:                   |                dnode_hold() {
           zpool-23936 [010] 63346.347288: funcgraph_entry:                   |                  dnode_hold_impl() {
           zpool-23936 [010] 63346.347289: funcgraph_entry:        0.556 us   |                    dbuf_whichblock();
           zpool-23936 [010] 63346.347291: funcgraph_entry:                   |                    dbuf_hold() {
           zpool-23936 [010] 63346.347291: funcgraph_entry:                   |                      dbuf_hold_impl() {
           zpool-23936 [010] 63346.347293: funcgraph_entry:                   |                        __dbuf_hold_impl() {
           zpool-23936 [010] 63346.347294: funcgraph_entry:                   |                          dbuf_find() {
           zpool-23936 [010] 63346.347294: funcgraph_entry:        1.236 us   |                            dbuf_hash();
           zpool-23936 [010] 63346.347297: funcgraph_exit:         3.305 us   |                          }
           zpool-23936 [010] 63346.347298: funcgraph_exit:         4.868 us   |                        }
           zpool-23936 [010] 63346.347299: funcgraph_exit:         7.434 us   |                      }
           zpool-23936 [010] 63346.347299: funcgraph_exit:         8.625 us   |                    }
           zpool-23936 [010] 63346.347300: funcgraph_entry:        0.807 us   |                    RW_WRITE_HELD();
           zpool-23936 [010] 63346.347302: funcgraph_entry:                   |                    dbuf_read() {
           zpool-23936 [010] 63346.347303: funcgraph_entry:        0.812 us   |                      zrl_add();
           zpool-23936 [010] 63346.347305: funcgraph_entry:        2.619 us   |                      dmu_zfetch();
           zpool-23936 [010] 63346.347308: funcgraph_entry:        0.980 us   |                      RW_WRITE_HELD();
           zpool-23936 [010] 63346.347310: funcgraph_entry:        0.607 us   |                      zrl_remove();
           zpool-23936 [010] 63346.347311: funcgraph_exit:         9.809 us   |                    }
           zpool-23936 [010] 63346.347312: funcgraph_entry:        0.813 us   |                    dmu_buf_get_user();
           zpool-23936 [010] 63346.347314: funcgraph_entry:        0.790 us   |                    zrl_add();
           zpool-23936 [010] 63346.347316: funcgraph_entry:        0.846 us   |                    zrl_remove();
           zpool-23936 [010] 63346.347318: funcgraph_entry:                   |                    dmu_buf_rele() {
           zpool-23936 [010] 63346.347318: funcgraph_entry:        0.914 us   |                      dbuf_rele_and_unlock();
           zpool-23936 [010] 63346.347320: funcgraph_exit:         2.261 us   |                    }
           zpool-23936 [010] 63346.347320: funcgraph_exit:       + 31.921 us  |                  }
           zpool-23936 [010] 63346.347321: funcgraph_exit:       + 33.324 us  |                }
           zpool-23936 [010] 63346.347322: funcgraph_entry:        0.526 us   |                dbuf_whichblock();
           zpool-23936 [010] 63346.347323: funcgraph_entry:                   |                dbuf_hold() {
           zpool-23936 [010] 63346.347324: funcgraph_entry:                   |                  dbuf_hold_impl() {
           zpool-23936 [010] 63346.347325: funcgraph_entry:                   |                    __dbuf_hold_impl() {
           zpool-23936 [010] 63346.347325: funcgraph_entry:                   |                      dbuf_find() {
           zpool-23936 [010] 63346.347326: funcgraph_entry:        0.803 us   |                        dbuf_hash();
           zpool-23936 [010] 63346.347327: funcgraph_exit:         2.096 us   |                      }
           zpool-23936 [010] 63346.347328: funcgraph_entry:                   |                      arc_buf_add_ref() {
           zpool-23936 [010] 63346.347330: funcgraph_entry:        0.916 us   |                        add_reference();
           zpool-23936 [010] 63346.347331: funcgraph_entry:        0.647 us   |                        arc_access();
           zpool-23936 [010] 63346.347332: funcgraph_exit:         4.071 us   |                      }
           zpool-23936 [010] 63346.347333: funcgraph_exit:         7.959 us   |                    }
           zpool-23936 [010] 63346.347334: funcgraph_exit:         9.616 us   |                  }
           zpool-23936 [010] 63346.347334: funcgraph_exit:       + 10.968 us  |                }
           zpool-23936 [010] 63346.347335: funcgraph_entry:                   |                dbuf_read() {
           zpool-23936 [010] 63346.347335: funcgraph_entry:        0.413 us   |                  zrl_add();
           zpool-23936 [010] 63346.347336: funcgraph_entry:        0.530 us   |                  RW_WRITE_HELD();
           zpool-23936 [010] 63346.347338: funcgraph_entry:        0.416 us   |                  zrl_remove();
