version = 6
CPU 0 is empty
CPU 4 is empty
CPU 5 is empty
CPU 6 is empty
CPU 7 is empty
CPU 8 is empty
CPU 9 is empty
CPU 10 is empty
cpus=12
           zpool-31075 [003] 342012.383782: funcgraph_entry:        0.730 us   |              space_map_create();
           zpool-31075 [003] 342012.383784: funcgraph_entry:        0.540 us   |              space_map_create();
           zpool-31075 [003] 342012.383785: funcgraph_entry:        0.476 us   |              space_map_create();
           zpool-31075 [003] 342012.383785: funcgraph_entry:        0.483 us   |              space_map_create();
           zpool-31075 [003] 342012.383786: funcgraph_entry:        0.466 us   |              txg_list_create();
           zpool-31075 [003] 342012.383787: funcgraph_entry:        0.480 us   |              txg_list_create();
           zpool-31075 [003] 342012.383789: funcgraph_entry:                   |              vdev_queue_init() {
           zpool-31075 [003] 342012.383790: funcgraph_entry:        1.199 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383791: funcgraph_entry:        0.697 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383793: funcgraph_entry:        0.584 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383794: funcgraph_entry:        0.593 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383795: funcgraph_entry:        0.636 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383796: funcgraph_entry:        0.589 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383797: funcgraph_entry:        0.586 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383799: funcgraph_entry:        0.706 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383800: funcgraph_entry:        0.587 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383801: funcgraph_entry:        0.560 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383802: funcgraph_entry:        0.593 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383803: funcgraph_entry:        0.587 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383804: funcgraph_entry:        3.885 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383809: funcgraph_entry:        0.586 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383810: funcgraph_entry:        0.570 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383811: funcgraph_entry:        0.582 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383813: funcgraph_entry:        0.589 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383814: funcgraph_entry:        0.547 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383815: funcgraph_entry:        0.492 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383816: funcgraph_entry:        0.657 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383817: funcgraph_entry:        2.565 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383820: funcgraph_entry:        0.573 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383821: funcgraph_entry:        0.680 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383823: funcgraph_entry:        0.540 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383824: funcgraph_entry:        0.520 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383825: funcgraph_entry:        0.593 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383826: funcgraph_entry:        0.540 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383827: funcgraph_entry:        0.656 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383828: funcgraph_entry:        2.839 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383831: funcgraph_entry:        0.712 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383833: funcgraph_entry:        0.544 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383834: funcgraph_entry:        0.580 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383835: funcgraph_entry:        0.523 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383836: funcgraph_entry:        0.520 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383837: funcgraph_entry:        0.627 us   |                zio_vdev_alloc();
           zpool-31075 [003] 342012.383838: funcgraph_exit:       + 49.379 us  |              }
           zpool-31075 [003] 342012.383839: funcgraph_entry:        0.514 us   |              vdev_cache_init();
           zpool-31075 [003] 342012.383840: funcgraph_exit:       + 78.072 us  |            }
           zpool-31075 [003] 342012.383841: funcgraph_entry:        0.612 us   |            vdev_add_child();
           zpool-31075 [003] 342012.383842: funcgraph_exit:       + 82.769 us  |          }
           zpool-31075 [003] 342012.383843: funcgraph_entry:                   |          spa_config_parse() {
           zpool-31075 [003] 342012.383844: funcgraph_entry:        1.093 us   |            vdev_alloc();
           zpool-31075 [003] 342012.383845: funcgraph_exit:         2.029 us   |          }
           zpool-31075 [003] 342012.383846: funcgraph_entry:                   |          vdev_free() {
           zpool-31075 [003] 342012.383846: funcgraph_entry:                   |            vdev_close() {
           zpool-31075 [003] 342012.383847: funcgraph_entry:        0.464 us   |              vdev_root_close();
           zpool-31075 [003] 342012.383848: funcgraph_entry:        0.650 us   |              vdev_cache_purge();
