version = 6
CPU 11 is empty
cpus=12
       trace-cmd-9247  [010]  2210.465044: funcgraph_entry:        4.218 us   |  zpl_show_options();
       trace-cmd-9248  [006]  2210.465092: funcgraph_entry:        2.892 us   |  zpl_show_options();
              dd-9249  [008]  2210.466103: funcgraph_entry:                   |  zpl_lookup() {
              dd-9249  [008]  2210.466105: funcgraph_entry:                   |    zfs_lookup() {
              dd-9249  [008]  2210.466106: funcgraph_entry:        0.777 us   |      rrw_enter_read();
              dd-9249  [008]  2210.466108: funcgraph_entry:                   |      zfs_zaccess() {
              dd-9249  [008]  2210.466109: funcgraph_entry:        0.430 us   |        zfs_fuid_map_id();
              dd-9249  [008]  2210.466110: funcgraph_entry:                   |        zfs_zaccess_common() {
              dd-9249  [008]  2210.466111: funcgraph_entry:                   |          zfs_zaccess_aces_check() {
              dd-9249  [008]  2210.466111: funcgraph_entry:        0.467 us   |            zfs_fuid_map_ids();
              dd-9249  [008]  2210.466112: funcgraph_entry:                   |            zfs_acl_node_read.clone.1() {
              dd-9249  [008]  2210.466113: funcgraph_entry:        0.476 us   |              zfs_znode_acl_version();
              dd-9249  [008]  2210.466114: funcgraph_entry:                   |              sa_size() {
              dd-9249  [008]  2210.466115: funcgraph_entry:        0.920 us   |                sa_attr_op();
              dd-9249  [008]  2210.466116: funcgraph_exit:         1.949 us   |              }
              dd-9249  [008]  2210.466117: funcgraph_entry:                   |              sa_lookup() {
              dd-9249  [008]  2210.466117: funcgraph_entry:                   |                sa_lookup_impl() {
              dd-9249  [008]  2210.466118: funcgraph_entry:        0.736 us   |                  sa_attr_op();
              dd-9249  [008]  2210.466119: funcgraph_exit:         1.619 us   |                }
              dd-9249  [008]  2210.466119: funcgraph_exit:         2.576 us   |              }
              dd-9249  [008]  2210.466120: funcgraph_entry:        1.719 us   |              zfs_acl_alloc();
              dd-9249  [008]  2210.466122: funcgraph_entry:        1.125 us   |              zfs_acl_node_alloc();
              dd-9249  [008]  2210.466124: funcgraph_entry:                   |              sa_lookup() {
              dd-9249  [008]  2210.466124: funcgraph_entry:                   |                sa_lookup_impl() {
              dd-9249  [008]  2210.466124: funcgraph_entry:        0.584 us   |                  sa_attr_op();
              dd-9249  [008]  2210.466125: funcgraph_exit:         1.489 us   |                }
              dd-9249  [008]  2210.466126: funcgraph_exit:         2.355 us   |              }
              dd-9249  [008]  2210.466126: funcgraph_exit:       + 14.046 us  |            }
              dd-9249  [008]  2210.466127: funcgraph_entry:                   |            zfs_acl_next_ace() {
              dd-9249  [008]  2210.466128: funcgraph_entry:        0.420 us   |              zfs_ace_fuid_size();
              dd-9249  [008]  2210.466129: funcgraph_entry:        0.410 us   |              zfs_ace_fuid_get_flags();
              dd-9249  [008]  2210.466130: funcgraph_entry:        0.413 us   |              zfs_ace_fuid_get_type();
              dd-9249  [008]  2210.466130: funcgraph_entry:        0.403 us   |              zfs_ace_fuid_get_mask();
              dd-9249  [008]  2210.466131: funcgraph_entry:        0.450 us   |              zfs_ace_fuid_get_who();
              dd-9249  [008]  2210.466132: funcgraph_exit:         5.165 us   |            }
              dd-9249  [008]  2210.466133: funcgraph_entry:        0.533 us   |            zfs_acl_valid_ace_type();
              dd-9249  [008]  2210.466134: funcgraph_exit:       + 22.979 us  |          }
              dd-9249  [008]  2210.466134: funcgraph_exit:       + 24.286 us  |        }
              dd-9249  [008]  2210.466135: funcgraph_exit:       + 26.357 us  |      }
              dd-9249  [008]  2210.466135: funcgraph_entry:                   |      zfs_dirlook() {
              dd-9249  [008]  2210.466136: funcgraph_entry:                   |        zfs_dirent_lock() {
              dd-9249  [008]  2210.466143: funcgraph_entry:                   |          zap_lookup() {
              dd-9249  [008]  2210.466143: funcgraph_entry:                   |            zap_lookup_norm() {
              dd-9249  [008]  2210.466144: funcgraph_entry:                   |              zap_lockdir() {
              dd-9249  [008]  2210.466144: funcgraph_entry:                   |                dmu_buf_hold() {
              dd-9249  [008]  2210.466145: funcgraph_entry:                   |                  dnode_hold() {
              dd-9249  [008]  2210.466145: funcgraph_entry:                   |                    dnode_hold_impl() {
              dd-9249  [008]  2210.466146: funcgraph_entry:        0.412 us   |                      dbuf_whichblock();
              dd-9249  [008]  2210.466147: funcgraph_entry:                   |                      dbuf_hold() {
              dd-9249  [008]  2210.466148: funcgraph_entry:                   |                        dbuf_hold_impl() {
              dd-9249  [008]  2210.466149: funcgraph_entry:                   |                          __dbuf_hold_impl() {
              dd-9249  [008]  2210.466150: funcgraph_entry:                   |                            dbuf_find() {
              dd-9249  [008]  2210.466150: funcgraph_entry:        1.045 us   |                              dbuf_hash();
              dd-9249  [008]  2210.466152: funcgraph_exit:         2.773 us   |                            }
              dd-9249  [008]  2210.466153: funcgraph_exit:         4.034 us   |                          }
              dd-9249  [008]  2210.466154: funcgraph_exit:         6.380 us   |                        }
              dd-9249  [008]  2210.466155: funcgraph_exit:         7.304 us   |                      }
              dd-9249  [008]  2210.466155: funcgraph_entry:        0.574 us   |                      RW_WRITE_HELD();
              dd-9249  [008]  2210.466156: funcgraph_entry:                   |                      dbuf_read() {
              dd-9249  [008]  2210.466157: funcgraph_entry:        0.623 us   |                        zrl_add();
              dd-9249  [008]  2210.466158: funcgraph_entry:        1.535 us   |                        dmu_zfetch();
              dd-9249  [008]  2210.466160: funcgraph_entry:        0.572 us   |                        RW_WRITE_HELD();
              dd-9249  [008]  2210.466162: funcgraph_entry:        0.417 us   |                        zrl_remove();
              dd-9249  [008]  2210.466163: funcgraph_exit:         6.270 us   |                      }
              dd-9249  [008]  2210.466163: funcgraph_entry:        0.530 us   |                      dmu_buf_get_user();
              dd-9249  [008]  2210.466164: funcgraph_entry:        0.704 us   |                      zrl_add();
              dd-9249  [008]  2210.466166: funcgraph_entry:        0.457 us   |                      zrl_remove();
              dd-9249  [008]  2210.466167: funcgraph_entry:                   |                      dmu_buf_rele() {
              dd-9249  [008]  2210.466168: funcgraph_entry:        0.550 us   |                        dbuf_rele_and_unlock();
              dd-9249  [008]  2210.466169: funcgraph_exit:         1.500 us   |                      }
              dd-9249  [008]  2210.466169: funcgraph_exit:       + 23.722 us  |                    }
              dd-9249  [008]  2210.466170: funcgraph_exit:       + 24.611 us  |                  }
              dd-9249  [008]  2210.466170: funcgraph_entry:        0.423 us   |                  dbuf_whichblock();
              dd-9249  [008]  2210.466171: funcgraph_entry:                   |                  dbuf_hold() {
              dd-9249  [008]  2210.466171: funcgraph_entry:                   |                    dbuf_hold_impl() {
              dd-9249  [008]  2210.466172: funcgraph_entry:                   |                      __dbuf_hold_impl() {
              dd-9249  [008]  2210.466173: funcgraph_entry:                   |                        dbuf_find() {
              dd-9249  [008]  2210.466173: funcgraph_entry:        0.689 us   |                          dbuf_hash();
              dd-9249  [008]  2210.466175: funcgraph_exit:         2.049 us   |                        }
              dd-9249  [008]  2210.466176: funcgraph_entry:        0.444 us   |                        dmu_buf_add_ref();
              dd-9249  [008]  2210.466177: funcgraph_entry:                   |                        dbuf_create() {
              dd-9249  [008]  2210.466178: funcgraph_entry:        0.430 us   |                          dbuf_hash();
              dd-9249  [008]  2210.466179: funcgraph_entry:        0.730 us   |                          arc_space_consume();
              dd-9249  [008]  2210.466181: funcgraph_exit:         4.088 us   |                        }
              dd-9249  [008]  2210.466181: funcgraph_entry:                   |                        dmu_buf_rele() {
              dd-9249  [008]  2210.466182: funcgraph_entry:        0.534 us   |                          dbuf_rele_and_unlock();
